Sample,Longitude,Latitude
H1-0-10,150.381867,-33.594502
H1-40-50,150.381867,-33.594502
H1-90-100,150.381867,-33.594502
H2-0-10,150.381614,-33.594202
H2-40-50,150.381614,-33.594202
H2-70-80-1,150.381614,-33.594202
H2-70-80-2,150.381614,-33.594202
H3-0-10,150.381465,-33.594014
H3-40-50-1,150.381465,-33.594014
H3-40-50-2,150.381465,-33.594014
H3-60-70,150.381465,-33.594014
H4-0-10,150.380479,-33.593816
H4-130-140,150.380479,-33.593816
H4-40-50,150.380479,-33.593816
H5-0-10,150.37998,-33.593734
H5-40-50-1,150.37998,-33.593734
H5-40-50-2,150.37998,-33.593734
H5-70-80,150.37998,-33.593734
H6-100-110,150.380065,-33.593675
H6-40-50-2,150.380065,-33.593675
H6-0-10,150.380065,-33.593675
H6-40-50-1,150.380065,-33.593675
